task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
651	24/595c5f	123080	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_04_B)	COMPLETED	0	2024-04-03 09:31:35.111	518ms	91ms	48.6%	1.5 MB	3.9 MB	118.5 KB	927 B
139	8b/2490de	120046	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_S5_S)	COMPLETED	0	2024-04-03 09:31:31.068	5.4s	5s	222.9%	357.1 MB	6.5 GB	25.7 MB	5 MB
656	6d/b2a2bf	124071	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_05_B)	COMPLETED	0	2024-04-03 09:31:36.543	397ms	42ms	66.3%	1.5 MB	3.9 MB	118.5 KB	926 B
658	76/f094c3	124483	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_06_B)	COMPLETED	0	2024-04-03 09:31:36.985	399ms	41ms	71.6%	1.5 MB	3.9 MB	118.5 KB	926 B
150	df/dbed24	122966	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_S7_B)	COMPLETED	0	2024-04-03 09:31:34.985	2.7s	2s	457.9%	331.7 MB	1.7 GB	408.6 MB	396.6 MB
663	8e/c16bfd	124832	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_07_B)	COMPLETED	0	2024-04-03 09:31:37.708	701ms	132ms	37.8%	1.5 MB	3.9 MB	118.5 KB	927 B
666	20/f820d6	125717	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_08_B)	COMPLETED	0	2024-04-03 09:31:39.430	475ms	44ms	72.2%	1.5 MB	3.9 MB	118.5 KB	927 B
155	a8/5eb420	124825	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_VW_S7_S)	COMPLETED	0	2024-04-03 09:31:37.684	2.5s	2s	356.6%	280.4 MB	1.5 GB	236.5 MB	226 MB
141	16/e010e8	121956	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_S6_B)	COMPLETED	0	2024-04-03 09:31:34.003	6.5s	6s	238.9%	513.5 MB	6.4 GB	33.7 MB	5 MB
668	67/e3bec9	125989	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_09_B)	COMPLETED	0	2024-04-03 09:31:39.938	582ms	37ms	95.2%	0	0	118.5 KB	927 B
671	f4/bb81c3	126341	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_10_B)	COMPLETED	0	2024-04-03 09:31:40.551	583ms	54ms	70.6%	1.5 MB	3.9 MB	118.5 KB	927 B
149	a3/9aa9fc	123420	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_S7_B)	COMPLETED	0	2024-04-03 09:31:35.545	5.6s	6s	264.9%	653.2 MB	6.5 GB	39.9 MB	5 MB
675	49/368d97	126889	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_11_B)	COMPLETED	0	2024-04-03 09:31:41.156	492ms	37ms	73.7%	1.5 MB	3.9 MB	118.5 KB	926 B
680	42/98a0fd	127603	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_12_B)	COMPLETED	0	2024-04-03 09:31:42.667	411ms	45ms	74.5%	1.5 MB	3.9 MB	118.5 KB	926 B
161	d3/531ea0	126913	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_1_B)	COMPLETED	0	2024-04-03 09:31:41.220	2s	2s	233.9%	32.4 MB	44.5 MB	94.6 MB	85.8 MB
681	ca/94f0c3	128128	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_13_B)	COMPLETED	0	2024-04-03 09:31:43.110	541ms	48ms	75.3%	1.5 MB	3.9 MB	118.5 KB	927 B
682	d2/83dc31	128480	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_14_B)	COMPLETED	0	2024-04-03 09:31:43.671	545ms	43ms	84.8%	0	0	118.5 KB	927 B
688	15/1aff33	128821	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_15_B)	COMPLETED	0	2024-04-03 09:31:44.240	494ms	35ms	81.9%	0	0	118.5 KB	927 B
156	ea/22e0a2	126157	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_VW_S7_S)	COMPLETED	0	2024-04-03 09:31:40.250	4.5s	4s	322.8%	375.4 MB	6.4 GB	27.8 MB	5 MB
160	17/53c2c4	126340	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_1_B)	COMPLETED	0	2024-04-03 09:31:40.532	4.4s	4s	241.7%	351.6 MB	6.5 GB	18.2 MB	5.1 MB
165	e3/8a59c7	128176	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_1_S)	COMPLETED	0	2024-04-03 09:31:43.255	2s	2s	240.2%	39.1 MB	781.7 MB	89.1 MB	79.5 MB
689	b5/57d052	129243	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_16_B)	COMPLETED	0	2024-04-03 09:31:44.756	505ms	34ms	106.3%	0	0	118.5 KB	928 B
694	0e/0faf57	129923	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_17_B)	COMPLETED	0	2024-04-03 09:31:45.292	515ms	38ms	78.7%	1.5 MB	3.9 MB	118.5 KB	927 B
695	04/82b113	130395	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_C1_B)	COMPLETED	0	2024-04-03 09:31:45.831	575ms	53ms	74.7%	1.5 MB	3.9 MB	118.5 KB	927 B
701	ac/f7ab3a	130744	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_C2_B)	COMPLETED	0	2024-04-03 09:31:46.434	405ms	27ms	71.2%	0	0	118.5 KB	926 B
167	20/f325f8	129890	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_2_B)	COMPLETED	0	2024-04-03 09:31:45.272	2s	2s	233.3%	43.9 MB	724.7 MB	106 MB	97 MB
706	20/894597	131335	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_C3_B)	COMPLETED	0	2024-04-03 09:31:47.306	501ms	33ms	100.3%	0	0	118.5 KB	928 B
708	4d/bcf5d5	131736	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_C4_B)	COMPLETED	0	2024-04-03 09:31:47.829	501ms	32ms	91.8%	0	0	118.5 KB	927 B
164	0d/06eccf	129315	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_1_S)	COMPLETED	0	2024-04-03 09:31:44.793	4.4s	4s	263.6%	332.9 MB	6.5 GB	18.8 MB	5.1 MB
172	89/2a7043	131328	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_2_S)	COMPLETED	0	2024-04-03 09:31:47.276	2s	2s	178.3%	32.8 MB	45 MB	58.3 MB	49.8 MB
168	e6/8e6a76	129539	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_2_B)	COMPLETED	0	2024-04-03 09:31:44.928	4.4s	4s	243.4%	323.7 MB	6.4 GB	19.1 MB	5.1 MB
713	5e/96fa50	132224	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_C5_B)	COMPLETED	0	2024-04-03 09:31:49.264	463ms	42ms	64.6%	1.5 MB	3.9 MB	118.5 KB	926 B
714	a3/21262f	132238	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_REV_C6_B)	COMPLETED	0	2024-04-03 09:31:49.286	529ms	45ms	65.5%	1.5 MB	3.9 MB	118.5 KB	926 B
720	22/7397fc	133309	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_SF_01_B)	COMPLETED	0	2024-04-03 09:31:50.834	425ms	41ms	64.6%	1.5 MB	3.9 MB	118.5 KB	926 B
175	f7/99364b	132948	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_3_B)	COMPLETED	0	2024-04-03 09:31:49.750	1.9s	1s	195.9%	33.6 MB	45.9 MB	78.3 MB	69.8 MB
721	9c/532b9e	133590	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_SF_01_S)	COMPLETED	0	2024-04-03 09:31:51.279	499ms	32ms	82.4%	0	0	118.5 KB	927 B
724	f1/24f420	133911	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_SF_02_B)	COMPLETED	0	2024-04-03 09:31:51.798	507ms	44ms	86.8%	1.5 MB	3.9 MB	118.5 KB	927 B
725	20/4509f8	134273	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_SF_02_S)	COMPLETED	0	2024-04-03 09:31:52.329	471ms	31ms	113.1%	0	0	118.5 KB	927 B
726	f0/7b3ba8	134486	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_SF_S3_B)	COMPLETED	0	2024-04-03 09:31:52.826	482ms	36ms	80.7%	0	0	118.5 KB	927 B
180	07/125094	133728	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_3_S)	COMPLETED	0	2024-04-03 09:31:51.672	2s	2s	239.1%	66.5 MB	757.6 MB	112.5 MB	103.5 MB
171	ba/a83aaa	132223	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_2_S)	COMPLETED	0	2024-04-03 09:31:49.245	4.5s	4s	259.9%	346.3 MB	6.4 GB	15.9 MB	5 MB
176	00/ad6658	132344	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_3_B)	COMPLETED	0	2024-04-03 09:31:49.394	4.4s	4s	253.7%	314.8 MB	6.4 GB	16.5 MB	5.1 MB
732	9e/8eb2f1	135019	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_SF_S3_S)	COMPLETED	0	2024-04-03 09:31:53.330	512ms	40ms	80.7%	0	0	118.5 KB	927 B
733	23/a42246	135398	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_C1_B)	COMPLETED	0	2024-04-03 09:31:53.864	600ms	34ms	90.0%	0	0	118.5 KB	926 B
736	da/b81320	136032	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_C1_S)	COMPLETED	0	2024-04-03 09:31:54.490	507ms	39ms	105.7%	0	0	118.5 KB	928 B
742	09/7e9436	136236	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_C2_B)	COMPLETED	0	2024-04-03 09:31:55.017	442ms	34ms	82.6%	1.5 MB	3.9 MB	118.5 KB	926 B
184	e7/5d01a2	135299	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_4_B)	COMPLETED	0	2024-04-03 09:31:53.770	2s	1s	226.3%	38.5 MB	718.9 MB	96 MB	87.1 MB
745	62/c8d3cf	136809	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_C2_S)	COMPLETED	0	2024-04-03 09:31:55.479	424ms	51ms	66.2%	1.5 MB	3.9 MB	118.5 KB	926 B
750	4f/115110	137087	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_C3_S)	COMPLETED	0	2024-04-03 09:31:55.925	537ms	58ms	32.7%	1.5 MB	3.9 MB	118.5 KB	926 B
179	bc/6b7c95	135232	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_3_S)	COMPLETED	0	2024-04-03 09:31:53.719	4.3s	3s	265.5%	358.6 MB	6.5 GB	19.1 MB	5 MB
756	4b/c095ef	137667	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_S5_B)	COMPLETED	0	2024-04-03 09:31:57.489	565ms	56ms	92.0%	1.5 MB	3.9 MB	118.5 KB	927 B
185	d5/c67d54	135353	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_4_B)	COMPLETED	0	2024-04-03 09:31:53.831	4.4s	4s	225.5%	326.4 MB	6.4 GB	18.3 MB	5.1 MB
757	a9/559d64	137930	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_S5_S)	COMPLETED	0	2024-04-03 09:31:58.079	477ms	37ms	78.4%	0	0	118.5 KB	927 B
758	0a/ca095b	138441	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_S6_B)	COMPLETED	0	2024-04-03 09:31:58.574	542ms	47ms	87.1%	0	0	118.5 KB	927 B
761	3d/f27b6f	138725	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_S6_S)	COMPLETED	0	2024-04-03 09:31:59.139	470ms	29ms	62.5%	1.5 MB	3.9 MB	118.5 KB	926 B
190	ca/eda992	137916	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_501_4_S)	COMPLETED	0	2024-04-03 09:31:58.052	2s	1s	243.1%	44 MB	786 MB	103.8 MB	94.4 MB
766	cb/2ac754	139242	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_S7_B)	COMPLETED	0	2024-04-03 09:31:59.629	468ms	30ms	104.3%	0	0	118.5 KB	928 B
769	8c/ab5538	139503	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Sep_VW_S7_S)	COMPLETED	0	2024-04-03 09:32:00.115	471ms	36ms	96.8%	0	0	118.5 KB	927 B
193	e7/23d283	139472	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_DI_BK1_NA)	COMPLETED	0	2024-04-03 09:32:00.030	1.9s	1s	240.3%	35.6 MB	443.7 MB	100.6 MB	91.8 MB
189	7c/9c3d76	138092	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_501_4_S)	COMPLETED	0	2024-04-03 09:31:58.221	4.5s	4s	274.9%	320.5 MB	6.4 GB	19.4 MB	5 MB
153	25/be55f9	124039	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_02_B)	COMPLETED	0	2024-04-03 09:31:36.510	27.8s	28s	111.7%	1 GB	7.1 GB	61.9 MB	17 MB
196	44/13e87a	140560	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_DI_BK2_NA)	COMPLETED	0	2024-04-03 09:32:02.740	1.6s	1s	97.5%	2.7 MB	13.1 MB	7.9 MB	266.8 KB
194	4e/744ea9	140291	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_DI_BK1_NA)	COMPLETED	0	2024-04-03 09:32:01.991	4.5s	4s	261.9%	337.4 MB	6.4 GB	18.9 MB	5.1 MB
197	d2/7d9f93	140948	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_DI_BK2_NA)	COMPLETED	0	2024-04-03 09:32:04.343	3.5s	3s	241.7%	304.4 MB	6.3 GB	12.2 MB	5.1 MB
201	aa/46b907	141730	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_01_B)	COMPLETED	0	2024-04-03 09:32:06.498	2s	2s	275.4%	66.7 MB	758.7 MB	133.5 MB	124.5 MB
202	43/45826d	140979	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_01_B)	COMPLETED	0	2024-04-03 09:32:04.393	4.4s	4s	290.8%	324.8 MB	6.4 GB	19.4 MB	5 MB
205	af/ce3f14	142068	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_02_B)	COMPLETED	0	2024-04-03 09:32:07.885	2.1s	1s	269.5%	35.4 MB	381.7 MB	125.4 MB	116.5 MB
211	fe/ed843d	143380	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_03_B)	COMPLETED	0	2024-04-03 09:32:09.967	2s	1s	240.5%	3.2 MB	13.7 MB	104.9 MB	96.2 MB
206	f5/d629ef	142616	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_02_B)	COMPLETED	0	2024-04-03 09:32:08.567	4.6s	4s	240.9%	319.4 MB	6.5 GB	19.1 MB	5 MB
215	85/15a35a	144208	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_04_B)	COMPLETED	0	2024-04-03 09:32:13.161	2.2s	2s	331.0%	152.2 MB	1 GB	180 MB	170.3 MB
212	5c/c37819	143867	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_03_B)	COMPLETED	0	2024-04-03 09:32:11.970	4.6s	4s	242.1%	325 MB	6.2 GB	17.7 MB	5 MB
220	4a/b42cc3	145273	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_05_B)	COMPLETED	0	2024-04-03 09:32:16.593	2s	2s	228.7%	39.9 MB	720.2 MB	100.7 MB	92.1 MB
186	80/dcf48d	136956	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_03_B)	COMPLETED	0	2024-04-03 09:31:55.763	24s	23s	119.3%	975 MB	7 GB	59.4 MB	15.3 MB
216	9c/ad6a9a	144873	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_04_B)	COMPLETED	0	2024-04-03 09:32:15.397	4.6s	4s	274.1%	334.4 MB	6.4 GB	23.9 MB	5.1 MB
225	0a/86529f	146298	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_06_B)	COMPLETED	0	2024-04-03 09:32:19.851	2s	1s	241.2%	46.1 MB	726.7 MB	109.5 MB	100.7 MB
221	dd/52d475	145941	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_05_B)	COMPLETED	0	2024-04-03 09:32:18.660	4.5s	3s	305.9%	439.9 MB	6.6 GB	17.6 MB	5 MB
224	d8/a8d323	146341	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_06_B)	COMPLETED	0	2024-04-03 09:32:19.996	4.4s	4s	252.3%	320.5 MB	6.5 GB	19.2 MB	5.1 MB
229	10/d7487e	147563	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_07_B)	COMPLETED	0	2024-04-03 09:32:23.139	2s	1s	229.5%	32.3 MB	44.6 MB	90.8 MB	82.3 MB
228	f9/36af42	147194	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_07_B)	COMPLETED	0	2024-04-03 09:32:21.898	4.4s	4s	246.7%	326 MB	6.4 GB	16.8 MB	5 MB
233	66/c3fe99	148497	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_08_B)	COMPLETED	0	2024-04-03 09:32:25.132	2s	1s	207.8%	2.7 MB	13.1 MB	82.4 MB	73.8 MB
234	08/c017fb	147961	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_08_B)	COMPLETED	0	2024-04-03 09:32:24.472	4.3s	4s	246.8%	337.9 MB	6.5 GB	17.2 MB	5 MB
236	df/25e4b8	149176	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_09_B)	COMPLETED	0	2024-04-03 09:32:27.110	2s	1s	252.7%	38.6 MB	781 MB	117.5 MB	108.6 MB
237	dd/6107db	148854	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_09_B)	COMPLETED	0	2024-04-03 09:32:26.300	4.4s	4s	271.6%	329.1 MB	6.4 GB	18.4 MB	5 MB
239	c1/1914ac	149970	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_10_B)	COMPLETED	0	2024-04-03 09:32:29.097	1.9s	1s	169.1%	9.8 MB	22.8 MB	59 MB	50.8 MB
208	de/321e14	142735	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_04_B)	COMPLETED	0	2024-04-03 09:32:08.857	22.6s	22s	115.3%	964.9 MB	7 GB	57.3 MB	13.8 MB
242	04/fad330	150557	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_11_B)	COMPLETED	0	2024-04-03 09:32:30.675	1.9s	1s	177.5%	32.3 MB	44.6 MB	63.6 MB	55.3 MB
238	f8/0f8c74	149871	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_10_B)	COMPLETED	0	2024-04-03 09:32:28.809	4.5s	4s	273.2%	348.6 MB	6.4 GB	15.4 MB	5.1 MB
241	fd/f60a88	150685	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_11_B)	COMPLETED	0	2024-04-03 09:32:31.044	3.6s	3s	322.0%	312.9 MB	6.5 GB	15.4 MB	5.1 MB
245	3e/090e60	151479	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_12_B)	COMPLETED	0	2024-04-03 09:32:32.613	2.1s	2s	221.9%	42.4 MB	722.8 MB	102.6 MB	93.9 MB
249	5f/b562fa	152379	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_13_B)	COMPLETED	0	2024-04-03 09:32:34.709	2s	1s	177.5%	2.7 MB	13.1 MB	62.3 MB	54 MB
246	ad/b81a1a	151716	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_12_B)	COMPLETED	0	2024-04-03 09:32:33.324	4.5s	4s	276.0%	342.7 MB	6.5 GB	17.9 MB	5.1 MB
250	29/e222a3	153099	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_14_B)	COMPLETED	0	2024-04-03 09:32:36.677	2.1s	2s	249.2%	66.6 MB	758 MB	118.6 MB	109.6 MB
248	20/217801	152359	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_13_B)	COMPLETED	0	2024-04-03 09:32:34.662	4.4s	4s	280.6%	368.5 MB	6.5 GB	15.3 MB	5 MB
253	53/e2a52e	154235	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_15_B)	COMPLETED	0	2024-04-03 09:32:39.113	1.9s	1s	206.2%	33.7 MB	46 MB	79.4 MB	70.8 MB
251	35/5f2595	153458	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_14_B)	COMPLETED	0	2024-04-03 09:32:37.830	4.3s	3s	283.9%	364.5 MB	6.5 GB	19.4 MB	5.1 MB
256	16/26d491	155063	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_16_B)	COMPLETED	0	2024-04-03 09:32:41.047	2.1s	2s	235.6%	66.4 MB	761.2 MB	105.1 MB	96.1 MB
254	88/45cdad	154092	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_15_B)	COMPLETED	0	2024-04-03 09:32:38.837	4.5s	4s	228.0%	340.3 MB	6.4 GB	17.1 MB	5.1 MB
260	98/38ed66	156066	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_17_B)	COMPLETED	0	2024-04-03 09:32:43.136	2.1s	2s	285.6%	103 MB	976 MB	143.1 MB	133.7 MB
257	27/d086c5	155425	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_16_B)	COMPLETED	0	2024-04-03 09:32:42.137	4.3s	4s	247.6%	314.5 MB	6.5 GB	18.5 MB	5.1 MB
261	80/71913d	156969	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_C1_B)	COMPLETED	0	2024-04-03 09:32:45.220	2.1s	2s	226.7%	66.5 MB	757.5 MB	95.4 MB	86.8 MB
259	12/26be70	156167	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_17_B)	COMPLETED	0	2024-04-03 09:32:43.338	4.4s	4s	277.5%	331.2 MB	6.3 GB	21.5 MB	5.1 MB
265	63/ed880d	157919	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_C2_B)	COMPLETED	0	2024-04-03 09:32:47.301	2.3s	2s	198.5%	40.1 MB	719.8 MB	79.5 MB	70.9 MB
262	e9/8a1f66	157307	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_C1_B)	COMPLETED	0	2024-04-03 09:32:46.440	4.6s	4s	247.5%	340 MB	6.5 GB	17.4 MB	5.1 MB
268	51/b53965	158853	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_C3_B)	COMPLETED	0	2024-04-03 09:32:49.640	2.3s	1s	143.9%	37.9 MB	717.5 MB	46.6 MB	38.5 MB
264	52/797c17	158130	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_C2_B)	COMPLETED	0	2024-04-03 09:32:47.791	4.5s	4s	217.4%	308.1 MB	6.3 GB	16.9 MB	5.1 MB
243	b1/7572f6	151001	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_REV_05_B)	COMPLETED	0	2024-04-03 09:32:31.489	21.9s	22s	114.8%	936.2 MB	7 GB	55.5 MB	12.3 MB
272	a9/192dc6	159948	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_C4_B)	COMPLETED	0	2024-04-03 09:32:52.356	1.9s	2s	203.0%	37 MB	49.2 MB	79.2 MB	70.5 MB
267	54/1683f1	159185	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_C3_B)	COMPLETED	0	2024-04-03 09:32:51.075	3.6s	3s	310.9%	273.3 MB	6.5 GB	14.7 MB	5.1 MB
274	3f/cd2ac1	161111	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (July_REV_C5_B)	COMPLETED	0	2024-04-03 09:32:54.734	2s	1s	249.1%	42.2 MB	784.6 MB	101.7 MB	92.9 MB
271	db/ff4872	160296	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (July_REV_C4_B)	COMPLETED	0	2024-04-03 09:32:53.426	4.4s	4s	236.1%	319.1 MB	6.5 GB	17.2 MB	5.1 MB
