task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
494	37/ec47d5	97707	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_08_B)	COMPLETED	0	2024-04-03 09:30:57.817	561ms	39ms	98.2%	0	0	118.5 KB	927 B
93	eb/267f40	95617	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_REV_C4_B)	COMPLETED	0	2024-04-03 09:30:54.167	5.5s	5s	267.0%	728 MB	6.5 GB	33.2 MB	5 MB
95	8e/8fd09f	97172	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_REV_C5_B)	COMPLETED	0	2024-04-03 09:30:56.997	2.8s	2s	395.4%	322.5 MB	1.7 GB	292.6 MB	281.7 MB
502	af/263871	98356	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_09_B)	COMPLETED	0	2024-04-03 09:30:59.458	923ms	115ms	43.0%	1.9 MB	6.4 MB	118.5 KB	927 B
77	09/768a26	85762	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Aug_DI_BK1A_NA)	COMPLETED	0	2024-04-03 09:30:37.371	23.6s	23s	114.9%	949.6 MB	7 GB	56.6 MB	13.2 MB
503	3c/b2d56d	99004	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_10_B)	COMPLETED	0	2024-04-03 09:31:00.466	956ms	170ms	30.3%	1.9 MB	6.4 MB	118.5 KB	927 B
504	26/95b350	99562	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_11_B)	COMPLETED	0	2024-04-03 09:31:01.556	859ms	86ms	61.1%	1.7 MB	6.2 MB	118.5 KB	927 B
508	00/2cfbbe	100015	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_12_B)	COMPLETED	0	2024-04-03 09:31:02.440	516ms	37ms	57.9%	1.5 MB	3.9 MB	118.5 KB	926 B
513	85/cf3d1e	100531	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_13_B)	COMPLETED	0	2024-04-03 09:31:02.984	429ms	50ms	62.6%	1.5 MB	3.9 MB	118.5 KB	926 B
99	99/5a06b2	99278	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_REV_C6_B)	COMPLETED	0	2024-04-03 09:31:01.075	2.5s	2s	416.2%	315 MB	1.7 GB	334.6 MB	323.6 MB
516	5e/568db6	100780	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_14_B)	COMPLETED	0	2024-04-03 09:31:03.439	548ms	40ms	70.4%	1.5 MB	3.9 MB	118.5 KB	927 B
96	45/61d4dd	98485	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_REV_C5_B)	COMPLETED	0	2024-04-03 09:30:59.756	4.5s	4s	290.3%	418 MB	6.3 GB	30.5 MB	5.1 MB
519	2a/199d03	101324	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_15_B)	COMPLETED	0	2024-04-03 09:31:04.069	564ms	37ms	101.3%	0	0	118.5 KB	928 B
523	aa/ac57f5	101727	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Oct_REV_16_B)	COMPLETED	0	2024-04-03 09:31:04.656	676ms	82ms	53.8%	1.9 MB	6.4 MB	118.5 KB	927 B
98	52/c74250	98527	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_REV_C6_B)	COMPLETED	0	2024-04-03 09:30:59.824	5.6s	5s	263.3%	510.4 MB	6.3 GB	32.7 MB	5 MB
